,train_size,RMSE
0,0.1,0.3871421714778614
1,0.2,0.17084475425479448
2,0.4,0.15645342160568232
3,0.5,0.1344854916647903
4,0.7,0.08541890869693163
5,0.8,0.0713639103201687
6,0.95,0.10846858931241644
