Data Size,Optimized Noise Variance,Optimized Kernel Variance,Optimized Period,Optimized Lengthscale,RMSE
0.1,9.014812427852414e-167,544.0847647092614,,582.1117845707938,0.08098703749424613
0.2,5.565225847195735e-74,535.8964047613076,,522.0866298703436,0.10068236607044842
0.4,3.080456958032271e-177,508.6672745237713,,397.82704999587617,0.1278032894794736
0.5,2.804885530347252e-62,498.9502557791376,,336.21141751311166,0.14156303971273854
0.7,2.5400788570255246e-146,458.720216292746,,209.14189068532175,0.2140211111892538
0.8,6.706625043451809e-82,394.78169322841546,,150.65690024914795,0.3565087713102714
0.95,1.641911049012753e-64,202.1216546987699,,36.71914090903555,0.8073119901148965
